SCOPUS_ID,eid,Author,title of paper,cit_count,uni_name,city,country,type
85035347799,2-s2.0-85035347799,Karim A.,"Big data management in participatory sensing: Issues, trends and future directions",4,Bahauddin Zakariya University,Multan,Pakistan,Article
85082792091,2-s2.0-85082792091,Motie I.,Needling Policy Makers and Sharpening the Debate: Do Syringe Exchange Programs Improve Health at the Population Level?,0,Florida State University College of Medicine,Tallahassee,United States,Article
85085553886,2-s2.0-85085553886,Forootan E.,An iterative ICA-based reconstruction method to produce consistent time-variable total water storage fields using GRACE and Swarm satellite data,0,Cardiff University,Cardiff,United Kingdom,Article
85083027128,2-s2.0-85083027128,Cardoso C.,Islands as eddy transformation and generation hotspots: Cabo Verde case study,0,Oceanic Observatory of Madeira,Funchal,Portugal,Article
85083528931,2-s2.0-85083528931,Veettil A.V.,Water Security Assessment for the Contiguous United States Using Water Footprint Concepts,0,Clemson University,Clemson,United States,Article
85083528627,2-s2.0-85083528627,Bonin J.A.,"Evaluation of sub-monthly oceanographic signal in GRACE ""daily"" swath series using altimetry",0,University of South Florida St. Petersburg,St Petersburg,United States,Article
85084264889,2-s2.0-85084264889,Xu X.,On-board wind scatterometry,0,Chinese Academy of Sciences,Beijing,China,Article
85082607757,2-s2.0-85082607757,Possner A.,Deconvolution of boundary layer depth and aerosol constraints on cloud water path in subtropical stratocumulus decks,0,Goethe-Universität Frankfurt am Main,Frankfurt am Main,Germany,Article
85082296655,2-s2.0-85082296655,Tang L.,Seismic impact of large earthquakes on estimating global mean ocean mass change from GRACE,0,Shanghai Astronomical Observatory Chinese Academy of Sciences,Shanghai,China,Letter
85079220190,2-s2.0-85079220190,Gokmen G.,The imperial roots of global trade,0,Lunds Universitet,Lund,Sweden,Article
85080889844,2-s2.0-85080889844,Duncan B.N.,Space-Based Observations for Understanding Changes in the Arctic-Boreal Zone,3,NASA Goddard Space Flight Center,Greenbelt,United States,Review
85081070418,2-s2.0-85081070418,Zhang A.,Modeling the global radiative effect of brown carbon: A potentially larger heating source in the tropical free troposphere than black carbon,0,Georgia Institute of Technology,Atlanta,United States,Article
85045028442,2-s2.0-85045028442,Azadian F.,Assessing the effect of urban socioeconomic factors and the financial crisis of 2008 on domestic air cargo traffic in Florida,0,Embry-Riddle Aeronautical University,Daytona Beach,United States,Article
85078781163,2-s2.0-85078781163,Fan S.,Estimation of Wind Direction in Tropical Cyclones Using C-Band Dual-Polarization Synthetic Aperture Radar,1,Nanjing University of Information Science and Technology,Nanjing,China,Article
85083306388,2-s2.0-85083306388,Bandeli K.K.,A framework towards computational narrative analysis on blogs,0,University of Arkansas at Little Rock,Little Rock,United States,Conference Paper
85081078234,2-s2.0-85081078234,Ferrándiz J.M.,Drift of the Earth's principal axes of inertia from GRACE and satellite laser ranging data,0,Universitat d'Alacant,Alicante,Spain,Article
85076846637,2-s2.0-85076846637,Saini G.,Classification of plants using convolutional neural network,0,Lovely Professional University,Phagwara,India,Conference Paper
85035347799,2-s2.0-85035347799,Karim A.,"Big data management in participatory sensing: Issues, trends and future directions",4,Bahauddin Zakariya University,Multan,Pakistan,Article
85082792091,2-s2.0-85082792091,Motie I.,Needling Policy Makers and Sharpening the Debate: Do Syringe Exchange Programs Improve Health at the Population Level?,0,Florida State University College of Medicine,Tallahassee,United States,Article
85085553886,2-s2.0-85085553886,Forootan E.,An iterative ICA-based reconstruction method to produce consistent time-variable total water storage fields using GRACE and Swarm satellite data,0,Cardiff University,Cardiff,United Kingdom,Article
85083027128,2-s2.0-85083027128,Cardoso C.,Islands as eddy transformation and generation hotspots: Cabo Verde case study,0,Oceanic Observatory of Madeira,Funchal,Portugal,Article
85083528931,2-s2.0-85083528931,Veettil A.V.,Water Security Assessment for the Contiguous United States Using Water Footprint Concepts,0,Clemson University,Clemson,United States,Article
85083528627,2-s2.0-85083528627,Bonin J.A.,"Evaluation of sub-monthly oceanographic signal in GRACE ""daily"" swath series using altimetry",0,University of South Florida St. Petersburg,St Petersburg,United States,Article
85084264889,2-s2.0-85084264889,Xu X.,On-board wind scatterometry,0,Chinese Academy of Sciences,Beijing,China,Article
85082607757,2-s2.0-85082607757,Possner A.,Deconvolution of boundary layer depth and aerosol constraints on cloud water path in subtropical stratocumulus decks,0,Goethe-Universität Frankfurt am Main,Frankfurt am Main,Germany,Article
85082296655,2-s2.0-85082296655,Tang L.,Seismic impact of large earthquakes on estimating global mean ocean mass change from GRACE,0,Shanghai Astronomical Observatory Chinese Academy of Sciences,Shanghai,China,Letter
85079220190,2-s2.0-85079220190,Gokmen G.,The imperial roots of global trade,0,Lunds Universitet,Lund,Sweden,Article
85080889844,2-s2.0-85080889844,Duncan B.N.,Space-Based Observations for Understanding Changes in the Arctic-Boreal Zone,3,NASA Goddard Space Flight Center,Greenbelt,United States,Review
85081070418,2-s2.0-85081070418,Zhang A.,Modeling the global radiative effect of brown carbon: A potentially larger heating source in the tropical free troposphere than black carbon,0,Georgia Institute of Technology,Atlanta,United States,Article
85045028442,2-s2.0-85045028442,Azadian F.,Assessing the effect of urban socioeconomic factors and the financial crisis of 2008 on domestic air cargo traffic in Florida,0,Embry-Riddle Aeronautical University,Daytona Beach,United States,Article
85078781163,2-s2.0-85078781163,Fan S.,Estimation of Wind Direction in Tropical Cyclones Using C-Band Dual-Polarization Synthetic Aperture Radar,1,Nanjing University of Information Science and Technology,Nanjing,China,Article
85083306388,2-s2.0-85083306388,Bandeli K.K.,A framework towards computational narrative analysis on blogs,0,University of Arkansas at Little Rock,Little Rock,United States,Conference Paper
85081078234,2-s2.0-85081078234,Ferrándiz J.M.,Drift of the Earth's principal axes of inertia from GRACE and satellite laser ranging data,0,Universitat d'Alacant,Alicante,Spain,Article
85076846637,2-s2.0-85076846637,Saini G.,Classification of plants using convolutional neural network,0,Lovely Professional University,Phagwara,India,Conference Paper
85066798125,2-s2.0-85066798125,Hartman A.E.,Earning while giving: Rhetorical strategies for navigating multiple institutional logics in reproductive commodification,2,University of Melbourne,Parkville,Australia,Article
85077868432,2-s2.0-85077868432,Sliwinska J.,"Analysis of groundwater and total water storage changes in poland using GRACE observations, in-situ data, and various assimilation and climate models",1,Space Research Center of the Polish Academy of Sciences,Warsaw,Poland,Article
85065766602,2-s2.0-85065766602,Lin X.,Assessment of Aquarius sea surface salinity with Argo in the Bay of Bengal,1,Pilot National Laboratory for Marine Science and Technology,Qingdao,China,Article
85075346224,2-s2.0-85075346224,Bingham F.,Subfootprint variability of sea surface salinity observed during the SPURS-1 and SPURS-2 field campaigns,1,The University of North Carolina Wilmington,Wilmington,United States,Article
85045659444,2-s2.0-85045659444,Arnold D.,Satellite laser ranging to low Earth orbiters: orbit and network validation,19,University of Bern,Bern,Switzerland,Article
85073030527,2-s2.0-85073030527,Pardal P.,An investigation on cubature Kalman filter performance for orbit determination application,0,Universidade de Sao Paulo - USP,Sao Paulo,Brazil,Article
85074519138,2-s2.0-85074519138,Kang Z.,Geocenter motion time series derived from GRACE GPS and LAGEOS observations,1,The University of Texas at Austin,Austin,United States,Article
85073740650,2-s2.0-85073740650,Liu Z.,Monitoring groundwater change in california’s central valley using sentinel-1 and grace observations,3,Jet Propulsion Laboratory,Pasadena,United States,Article
85077093978,2-s2.0-85077093978,Pacifico L.D.S.,Automatic classification of medicinal plant species based on color and texture features,0,Universidade Federal Rural de Pernambuco,Recife,Brazil,Conference Paper
85072219882,2-s2.0-85072219882,Nelson A.,Toward Realistic Nonstationarity of Semidiurnal Baroclinic Tides in a Hydrodynamic Model,0,"University of Michigan, Ann Arbor",Ann Arbor,United States,Article
85070453636,2-s2.0-85070453636,Śliwińska J.,Determining and evaluating the hydrological signal in polar motion excitation from gravity field models obtained from kinematic orbits of LEO satellites,1,Space Research Center of the Polish Academy of Sciences,Warsaw,Poland,Article
85070973135,2-s2.0-85070973135,Villa-Arrieta M.,Contribution of smart cities to the energy sustainability of the binomial between city and country,0,Universitat Politècnica de Catalunya,Barcelona,Spain,Review
85068261017,2-s2.0-85068261017,Liu J.,Top Cloud Motion Field of Typhoon Megi-2016 Revealed by GF-4 Images,2,Ministry of Land and Resources P.R.C.,Beijing,China,Article
85067499321,2-s2.0-85067499321,Li J.,Beach pollution effects on health and productivity in California,1,"California State University, Los Angeles",Los Angeles,United States,Article
85067194948,2-s2.0-85067194948,Short E.,Diurnal cycle of surface winds in the maritime continent observed through satellite scatterometry,2,University of Melbourne,Parkville,Australia,Article
85065601575,2-s2.0-85065601575,Adhikari S.,Sea-level fingerprints emergent from GRACE mission data,3,Jet Propulsion Laboratory,Pasadena,United States,Review
85065703663,2-s2.0-85065703663,Li Y.,Aquarius sea surface salinity gridding method based on dual quality-distance weighting,0,University of Chinese Academy of Sciences,Beijing,China,Article
85053608300,2-s2.0-85053608300,Reisenbichler M.,Topic modeling in marketing: recent advances and research opportunities,6,Wirtschaftsuniversität Wien,Vienna,Austria,Article
85065030577,2-s2.0-85065030577,Richter A.,The rapid and steady mass loss of the Patagonian Icefields throughout the GRACE era: 2002-2017,0,Universidad Nacional de La Plata,La Plata,Argentina,Article
85065017301,2-s2.0-85065017301,Meyer U.,"SLR, GRACE and swarm gravity field determination and combination",1,University of Bern,Bern,Switzerland,Article
85063013458,2-s2.0-85063013458,Neufeld H.,Spatial and temporal patterns of ozone at Great Smoky Mountains National Park and implications for plant responses,0,Appalachian State University,Boone,United States,Article
85063617747,2-s2.0-85063617747,Min K.,"Analysis of environmental issues with an application of civil complaints: The case of Shiheung city, Republic of Korea",3,Chiba University,Chiba,Japan,Article
85063270677,2-s2.0-85063270677,Bao S.,"Comparison of Satellite-Derived Sea Surface Salinity Products from SMOS, Aquarius, and SMAP",4,National University of Defense Technology,Changsha,China,Article
85063111698,2-s2.0-85063111698,Chiodi A.M.,Estimating Air-Sea Carbon Flux Uncertainty Over the Tropical Pacific: Importance of Winds and Wind Analysis Uncertainty,2,National Oceanic and Atmospheric Administration,"Washington, D.C.",United States,Article
85055573610,2-s2.0-85055573610,Li Z.,A shadow function model based on perspective projection and atmospheric effect for satellites in eclipse,1,UCL,London,United Kingdom,Article
